contract_id,contract_text,clause_type
1,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
2,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
3,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
4,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
5,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
6,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
7,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
8,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
9,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
10,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
11,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
12,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
13,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
14,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
15,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
16,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
17,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
18,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
19,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
20,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
21,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
22,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
23,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
24,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
25,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
26,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
27,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
28,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
29,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
30,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
31,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
32,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
33,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
34,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
35,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
36,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
37,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
38,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
39,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
40,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
41,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
42,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
43,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
44,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
45,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
46,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
47,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
48,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
49,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
50,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
